,host_id,host_is_superhost,neighbourhood,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,number_of_reviews,review_scores_rating,price
8511,7506723,f,,Entire rental unit,Entire home/apt,4,,2 baths,3.0,3.0,44,4.77,$291.00
9572,251786901,f,,Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,0,,$100.00
6449,35936647,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,7,,2 baths,4.0,4.0,68,4.56,$224.00
192,3250864,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,6,4.25,$63.00
813,8720687,t,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,14,4.93,$30.00
14933,265193861,f,,Entire rental unit,Entire home/apt,2,,2 baths,1.0,1.0,0,,$93.00
1667,27515602,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,3,,1 bath,2.0,2.0,59,4.58,$83.00
505,5314041,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,10,,3 baths,5.0,10.0,11,4.91,$480.00
10131,239550764,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,6.0,6,4.33,$75.00
11801,10704,f,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,4,,1 bath,2.0,3.0,0,,$110.00
6855,36607755,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,11 shared baths,1.0,1.0,0,,$32.00
9593,396363,f,,Entire rental unit,Entire home/apt,5,,1 bath,2.0,3.0,1,4.0,$92.00
6065,199379441,f,,Private room in rental unit,Private room,5,,1 private bath,2.0,4.0,161,4.59,$90.00
127,2955244,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,75,4.75,$90.00
3781,3618257,t,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,2 baths,1.0,1.0,122,4.92,$30.00
1460,21483975,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,2 baths,2.0,3.0,74,4.91,$120.00
10339,204662752,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,3,3.0,$29.00
9886,39169031,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,1,1.0,$59.00
